Date,Description,Amount,Category,Machine,Location
2026-01-15,Vending Collections - Location D,215.00,Revenue,SN-2024-004,Lakeside Mall
2026-01-16,Beverage Distributor Invoice,-325.00,Inventory,,
2026-01-17,Vending Collections - Location E,400.00,Revenue,SN-2024-005,Tech Campus West
2026-01-18,Insurance Payment,-280.00,Insurance,,
2026-01-19,Vending Collections - Location G,285.00,Revenue,SN-2024-007,Airport Terminal B
2026-01-20,Misc,-75.00,,,
2026-01-20,Vending Collections - Location H,230.00,Revenue,SN-2024-008,Downtown Library
2026-01-21,Vending Collections - Location A,515.00,Revenue,SN-2024-001,Metro Office Park
2026-01-22,Wholesale Snack Restock,-200.00,Inventory,,
2026-01-23,Vending Collections - Location B,340.00,Revenue,SN-2024-002,FitZone Gym
2026-01-24,Vending Collections - Location C,265.00,Revenue,SN-2024-003,Riverside Hospital
2026-01-25,Machine Repair - SN-2024-001,-220.00,Repairs,,
2026-01-26,Payment,-95.00,,,
2026-01-27,Vending Collections - Location F,150.00,Revenue,SN-2024-006,Community Center
2026-01-28,Fuel - Route 2,-50.00,Fuel,,
2026-01-29,Vending Collections - Location D,195.00,Revenue,SN-2024-004,Lakeside Mall
2026-01-30,Location Rent - FitZone Gym,-125.00,Location Rent,,FitZone Gym
2026-02-01,Vending Collections - Location A,540.00,Revenue,SN-2024-001,Metro Office Park
2026-02-01,Beverage Distributor Invoice,-350.00,Inventory,,
2026-02-02,Vending Collections - Location E,430.00,Revenue,SN-2024-005,Tech Campus West
2026-02-03,Vending Collections - Location B,360.00,Revenue,SN-2024-002,FitZone Gym
2026-02-01,Vending Collections - Location A,540.00,Revenue,SN-2024-001,Metro Office Park
2026-02-04,Vending Collections - Location G,295.00,Revenue,SN-2024-007,Airport Terminal B
2026-02-05,Wholesale Candy Restock,-180.00,Inventory,,
2026-02-05,Vending Collections - Location H,245.00,Revenue,SN-2024-008,Downtown Library
2026-02-06,Vending Collections - Location C,250.00,Revenue,SN-2024-003,Riverside Hospital
2026-02-06,Misc,300.00,,,
2026-02-07,Fuel - Route 1,-47.00,Fuel,,
2026-02-08,Vending Collections - Location A,500.00,Revenue,SN-2024-001,Metro Office Park
2026-02-08,Vending Collections - Location D,210.00,Revenue,SN-2024-004,Lakeside Mall
2026-02-09,Machine Repair - SN-2024-005,-160.00,Repairs,,
2026-01-10,Location Rent - Metro Office Park,-150.00,Location Rent,,Metro Office Park
2026-02-03,Vending Collections - Location B,360.00,Revenue,SN-2024-002,FitZone Gym
2026-02-11,Vending Collections - Location E,415.00,Revenue,SN-2024-005,Tech Campus West
2026-02-12,Vending Collections - Location F,165.00,Revenue,SN-2024-006,Community Center
2026-02-12,Wholesale Snack Restock,-225.00,Inventory,,
2026-02-13,Vending Collections - Location G,305.00,,SN-2024-007,Airport Terminal B
2026-02-14,Vending Collections - Location A,525.00,,SN-2024-001,Metro Office Park
2026-02-15,Beverage Distributor Invoice,-315.00,,,,
2026-02-15,Vending Collections - Location H,220.00,,SN-2024-008,Downtown Library
